dur,Float
proto,nominal
service,nominal
state,nominal
spkts,integer
dpkts,integer
sbytes,Integer
dbytes,Integer
rate,Float
sttl,Integer
dttl,Integer
sload,Float
dload,Float
sloss,Integer
dloss,Integer
Sintpkt,Float
Dintpkt,Float
sjit,Float
djit,Float
swin,integer
stcpb,integer
dtcpb,integer
dwin,integer
tcprtt,Float
synack,Float
ackdat,Float
smean,integer
dmean,integer
trans_depth,integer
res_bdy_len,integer
ct_srv_src,integer
ct_state_ttl,Integer
ct_dst_ltm,integer
ct_src_dport_ltm,integer
ct_dst_sport_ltm,integer
ct_dst_src_ltm,integer
is_ftp_login,binary
ct_ftp_cmd,integer
ct_flw_http_mthd,Integer
ct_src_ltm,integer
ct_srv_dst,integer
is_sm_ips_ports,binary
labels,nominal
