,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal
K-NN,0.1,0.08,0.22,0.23,0.19,0.95,0.7,0.18,0,0.73
K-NN/K-NN,0.1,0.06,0.19,0.24,0.19,0.95,0.62,0.14,0,0.73
K-NN/MLP,0.01,0.13,0.34,0.4,0.25,0.99,0.6,0.16,0.27,0.73
K-NN/SVM,0.01,0,0.17,0.39,0.24,0.99,0.64,0.31,0,0.73
MLP,0.13,0.13,0.38,0.62,0.57,0.98,0.71,0.3,0.49,0.93
MLP/K-NN,0.1,0.06,0.21,0.46,0.25,0.95,0.63,0.16,0,0.94
MLP/MLP,0.11,0.13,0.38,0.61,0.52,0.98,0.68,0.32,0.53,0.94
MLP/SVM,0.06,0,0.23,0.58,0.59,0.98,0.68,0.44,1,0.93
SVM,0.06,0,0.23,0.59,0.6,0.99,0.69,0.44,0.1,0.9
SVM/K-NN,0.1,0.06,0.21,0.45,0.22,0.95,0.63,0.15,0,0.92
SVM/MLP,0.11,0.14,0.38,0.61,0.47,0.98,0.65,0.28,0.53,0.92
SVM/SVM,0.06,0,0.23,0.57,0.53,98,0.66,0.39,1,0.92
,,,,,,,,,,
,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal
K-NN,0.33,0.08,0.24,0.26,0.14,0.96,0.36,0.03,0,0.72
K-NN/K-NN,0.35,0.08,0.19,0.26,0.14,0.96,0.37,0.03,0,0.72
K-NN/MLP,0.01,0.03,0.13,0.43,0.4,0.96,0.52,0.14,0.03,0.72
K-NN/SVM,0,0,0.11,0.48,0.3,0.96,0.51,0.13,0,0.72
MLP,0.01,0.02,0.15,0.78,0.6,0.97,0.69,0.21,0.09,0.95
MLP/K-NN,0.35,0.08,0.21,0.51,0.2,0.96,0.36,0.05,0,0.94
MLP/MLP,0.01,0.02,0.16,0.79,0.61,0.97,0.65,0.26,0.1,0.93
MLP/SVM,0,0,0.13,0.83,0.5,0.97,0.62,0.24,0.05,0.93
SVM,0,0,0.13,0.82,0.43,0.96,0.6,0.23,0.05,0.92
SVM/K-NN,0.35,0.08,0.21,0.5,0.17,0.96,0.36,0.05,0,0.91
SVM/MLP,0.01,0.02,0.15,0.78,0.56,0.97,0.64,0.26,0.1,0.91
SVM/SVM,0,0,0.13,0.83,0.45,0.97,0.6,0.24,0.05,0.91
,,,,,,,,,,
,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal
K-NN,0.16,0.08,0.23,0.25,0.16,0.95,0.48,0.05,0,0.73
K-NN/K-NN,0.15,0.07,0.19,0.25,0.16,0.96,0.46,0.05,0,0.73
K-NN/MLP,0.01,0.05,0.19,0.42,0.31,0.98,0.56,0.15,0.05,0.73
K-NN/SVM,0,0,0.13,0.43,0.26,0.98,0.57,0.18,0,0.73
MLP,0.02,0.03,0.21,0.69,0.58,0.97,0.7,0.25,0.15,0.94
MLP/K-NN,0.15,0.07,0.21,0.48,0.22,0.96,0.46,0.08,0,0.93
MLP/MLP,0.01,0.03,0.23,0.69,0.56,0.98,0.66,0.29,0.16,0.93
MLP/SVM,0,0,0.17,0.68,0.54,0.97,0.65,0.31,0.09,0.93
SVM,0,0,0.17,0.69,0.5,0.97,0.64,0.3,0.09,0.92
SVM/K-NN,0.15,0.07,0.21,0.48,0.19,0.96,0.45,0.08,0,0.91
SVM/MLP,0.01,0.04,0.22,0.68,0.51,0.98,0.64,0.27,0.17,0.91
SVM/SVM,0,0,0.17,0.68,0.49,0.97,0.63,0.3,0.09,0.91
