Class,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal
k-NN,0.33,0.06,0.25,0.32,0.2,0.96,0.4,0.07,0,0.61
k-NN/k-NN,0.3,0.08,0.23,0.38,0.18,0.96,0.37,0.03,0,0.61
k-NN/MLP,0.01,0.03,0.13,0.43,0.4,0.96,0.52,0.14,0.03,0.72
k-NN/SVM,0,0,0.11,0.48,0.3,0.96,0.51,0.13,0,0.72
MLP,0.01,0.02,0.15,0.78,0.6,0.97,0.69,0.21,0.09,0.95
MLP/k-NN,0.35,0.08,0.21,0.51,0.2,0.96,0.36,0.05,0,0.94
MLP/MLP,0.01,0.02,0.16,0.79,0.61,0.97,0.65,0.26,0.1,0.93
MLP/SVM,0,0,0.13,0.83,0.5,0.97,0.62,0.24,0.05,0.93
SVM,0,0,0.13,0.82,0.43,0.96,0.6,0.23,0.05,0.92
SVM/k-NN,0.35,0.08,0.21,0.5,0.17,0.96,0.36,0.05,0,0.91
SVM/MLP,0.01,0.02,0.15,0.78,0.56,0.97,0.64,0.26,0.1,0.91
SVM/SVM,0,0,0.13,0.83,0.45,0.97,0.6,0.24,0.05,0.91
